,text,labels,predictions
48,JESUS CHRIST....He is the ONLY answer!!,Non_hope_speech,Non_hope_speech
49,why not everything that lives matter?,Non_hope_speech,Non_hope_speech
50,@coolasice54321 Yea I get it man. I'll be the first to admit that when the black lives matter movement started a few years ago,Non_hope_speech,Non_hope_speech
51,Lock these cattle up!,Non_hope_speech,Non_hope_speech
52,Down with the tyrants of British slavery and brutality lol,Non_hope_speech,Non_hope_speech
53,Black lives matter is racist they wouldnt join up with hispanics if we started Hispanic lives matter and not one time mention them,Non_hope_speech,Non_hope_speech
54,the black guy looses obviously. the black man is guilty regardless of whether or not he initiated it. they're both arrested and charged but the gay dude will get a lighter sentencing.,Non_hope_speech,Non_hope_speech
57,Its a power vacuum like the exact same with Iraq,Non_hope_speech,Non_hope_speech
58,Black lives matter we want to see real change in Justice In our leadership that have the power to make it happen for us black people we are human being just like anyone else . We want equally Justice. In our Justice seyem  Evey were. And stop hate and racem. And stop cops builty. DEFUND POLICE . Stop killing our black people and our kids . Black life's matter,Non_hope_speech,Non_hope_speech
59,I was just sitting here thinking how much I agree with sheriff David Clark,Non_hope_speech,Non_hope_speech
61,This is about police brutality it has nothing to do with race,Non_hope_speech,Non_hope_speech
62,All Lives or No LivesnnAnything else is racist. How is it not?,Non_hope_speech,Non_hope_speech
63,@J K Rabbits unlimited.,Non_hope_speech,Non_hope_speech
64,we all heard sweater weather when we saw her,Non_hope_speech,Non_hope_speech
65,Is the person in the maroon a trans guy?,Non_hope_speech,Non_hope_speech
66,Democrats whoring for votes,Non_hope_speech,Non_hope_speech
67,@Maggie Paul Police brutality is not a race related issue. You do know that more white people die in police shootings than black people,Non_hope_speech,Non_hope_speech
68,Hi Jack have fun in ignorance,Non_hope_speech,Non_hope_speech
69,@Dead Sinner Some people are just wishful thinkers... so willing to see the worst,Non_hope_speech,Non_hope_speech
70,All lives can’t matter until Black lives matter,Non_hope_speech,Non_hope_speech
71,All lives matter but this is a black live mater situation black people are being targeted,Non_hope_speech,Non_hope_speech
72,Masterturtle 100 what,Non_hope_speech,Non_hope_speech
73,andrea raimey no one has to repent,Non_hope_speech,Non_hope_speech
74,All lives matter is not politically correct because the Politicians want blacks to be victims.,Non_hope_speech,Non_hope_speech
75,now the nelson Mandela statue  he was a terrorist,Non_hope_speech,Non_hope_speech
76,@Raider and why is that great,Non_hope_speech,Non_hope_speech
77,@Jason Aguirre yes. god even said that in the bible. protecting yourself. you think god is a useless weak pacifist?,Non_hope_speech,Non_hope_speech
79,Abdullah AlMamun nwhat is this comment lol,Non_hope_speech,Non_hope_speech
80,The 'white privilege' schtick is the PC equivalent of the medieval witches ducking stool. nIf the accused woman didn't drown,Non_hope_speech,Non_hope_speech
81,For every black person killed you can name a white person killed by police also. Don’t believe the hype. Liberals want to ruin this country,Non_hope_speech,Non_hope_speech
82,@American Patriot! aw yeah comment more racist tripe,Non_hope_speech,Non_hope_speech
83,For some reason I think this will turn into a war .. . And I don’t want that,Non_hope_speech,Non_hope_speech
84,Watch this right do the bible say ALL LIVES MATTER?,Non_hope_speech,Non_hope_speech
85,Blacks are going too far to protect their rights and trying to end racism and police brutality. Yeah sure Karen,Non_hope_speech,Non_hope_speech
86,Remember when the argument was no ones saying all lives don't matter? And now they're against people saying all lives matter,Non_hope_speech,Non_hope_speech
87,that one girl is DEFINITELY in the closet,Non_hope_speech,Non_hope_speech
88,I don`t want to sound harsh but humans will stay humans and when something is not normal it will trigger some reactions (good or bad). It is really a waste of time to worry about different reactions on your success,Non_hope_speech,Non_hope_speech
89,I’m asexual and lots of people don’t understand that,Non_hope_speech,Non_hope_speech
90,Great interview. This is who and what I think she is really all about,Non_hope_speech,Non_hope_speech
91,@Nibzu of Nibiru loved what,Non_hope_speech,Non_hope_speech
92,Not agreeing with that concept doesn't make you a bad person,Non_hope_speech,Non_hope_speech
93,BiC I Was Just GOnNA SAY THID AHAHAHAH,Non_hope_speech,Non_hope_speech
94,Invinceable nnI blame Fox News for the way you think,Non_hope_speech,Non_hope_speech
95,B. Scott I agree,Non_hope_speech,Non_hope_speech
96,Annie wasnt rude. She formed an opinion and expressed it when prompted to. Also stop assuming every women with a short cut is LGBTQ+,Non_hope_speech,Non_hope_speech
97,ALL LIVES MATTER.    Stop trying to destroy & rewrite our history. The BLM has become nothing more than a breeding ground for racial hatred.,Non_hope_speech,Non_hope_speech
98,playing with barbies and choosing engineering  is totally fine girls!  electrical engineering came naturally to me i wasn't even worried about being less qualified than guys ! in fact my high school teacher encouraged me to go for it and yes he's a man + I come from a muslim third world country and nobody really cared if I was studying engineering or business or art,Hope_speech,Hope_speech
99,O People! Verily,Non_hope_speech,Non_hope_speech
100,Is deciding for women what they should be interested in a function of egalitarianism or social engineering. The women that are not in Engineering,Non_hope_speech,Non_hope_speech
101,Hannity... you forgot Lyme lives matter,Non_hope_speech,Non_hope_speech
102,Even by taking out a suspicious dude you're trying to save a life,Non_hope_speech,Non_hope_speech
103,The police officer is such a wise man,Non_hope_speech,Non_hope_speech
104,@Leeloo H Hi I believe I am a pleiadian starseed (meaning I incarnated to the pleiadian star system as well as earth) From my understanding a lot of souls do this with different places but don't remember. There are a lot of videos about this and indigos check them out I think you will like it. It's very interesting,Non_hope_speech,Non_hope_speech
105,This video is stupid,Non_hope_speech,Non_hope_speech
106,It's controversial because it goes against the agenda. Especially when it comes to George Soros. Repeat after me..I will be a good,Non_hope_speech,Non_hope_speech
107,Annie gives me a TON of lesbian vibes,Non_hope_speech,Non_hope_speech
108,@Zara Maria Dixon Are you named after the clothing store?,Non_hope_speech,Non_hope_speech
110,Ikr.. and something big,Non_hope_speech,Non_hope_speech
111,Dean Smith . Because they don't care about that. They are anti-white racists. That should be becoming obvious.,Non_hope_speech,Non_hope_speech
112,@Unbearable Suffering i guess in this current social climate those will have to be torn down too.,Non_hope_speech,Non_hope_speech
113,+Redblactivist how is Bernie pandering? I don't get it. He's been an activist for black rights as early as the 60s,Non_hope_speech,Non_hope_speech
115,i will never come out as bi to my grandparents because they are very proper and against LGBTQIA+. I came out to my dad and my sister. Im afraid that if i come out to them they will force me to go to conversion therapy,Hope_speech,Hope_speech
117,I’ll never understand when someone says they “don’t agree” with homosexuality. It literally has NOTHING to do with you. There’s nothing to “agree” with. It just is what it is and always has been.,Hope_speech,Hope_speech
118,It's not about equality. It's about racist black supremacy.,Non_hope_speech,Non_hope_speech
119,Ford Garcia nobody had to agree to anything! How someone chooses to live their life is entirely their choice. It's nobody's place to say I don't accept that because it's not their life to accept. You can have your opinions and beliefs but nobody asked for them especially when it had nothing to do with an individuals life.,Non_hope_speech,Non_hope_speech
120,@Gennifer Bowen In the spectrum of dumb Karens,Non_hope_speech,Non_hope_speech
121,He got boo'ed for saying all lives matter? How are they not racist for that?,Non_hope_speech,Non_hope_speech
123,All lives will matter when blue lives matter,Non_hope_speech,Non_hope_speech
124,All lives matter is controversial wow what a world we live in and the left say they aren’t racist,Non_hope_speech,Non_hope_speech
125,She maybe thinks she is caucasian lol,Non_hope_speech,Non_hope_speech
126,that would just be,Non_hope_speech,Non_hope_speech
127,@B a n e probably with them rolled up pants legs but also the heavily religious family definitely made her say what she said.,Non_hope_speech,Non_hope_speech
128,And I honestly mean that. I get we don't agree with each other AT ALL but I still hope you and your family or friends (who ever you celebrate with) have a brilliant day. And also don't eat too much turkey... I learnt from that mistake last year Lol.,Non_hope_speech,Non_hope_speech
129,I like this police officer. He seems well educated. I will vote for you,Non_hope_speech,Non_hope_speech
130,If you want to walk into a room and do not look like an engineer you have to prove it what does that have to do with being a woman? If I walked in and claimed to be a surgeon no one would believe me either. Most things have nothing to do with sexism...nnMany things would not have been possible without female engineers? Why are we ok with that statement,Hope_speech,Hope_speech
131,If I hear another white supremacy comment I'm voting Trump,Non_hope_speech,Non_hope_speech
133,The real problem no has any  Respect for anything anymore,Non_hope_speech,Non_hope_speech
134,Bigoted sheep.nISIS do the same thing too,Non_hope_speech,Non_hope_speech
136,Destroying lives seems to be the message coming out of this movement because a lot of PEOPLE are dead or devasted by all this crap.nQuit lying to yourself,Non_hope_speech,Non_hope_speech
137,@Dave Rees lol I'm getting tired of typing. what false info tho? Also the idea that everyone within a decentralized movement is going to be perfect is a falsehood. And that stat is a 50 year prediction. Why does that matter to what I'm talking about? when they say minority they mean in the sense of all other races combined. I don't know why that's all of a sudden so bad.,Non_hope_speech,Non_hope_speech
138,What happened to her GRILLz??,Non_hope_speech,Non_hope_speech
140,What a waste of time. All for nought.,Non_hope_speech,Non_hope_speech
141,Share this if you wanna stop something,Non_hope_speech,Non_hope_speech
142,That picture of George Floyd's daughter makes me cry.,Non_hope_speech,Non_hope_speech
145,Amen! Unborn babies lives matters!,Non_hope_speech,Non_hope_speech
146,@Calvinist 1689 🤣 Don't be so quick to give Trump so much credit. It's not because of Trump that this is happening. This is an end to systematic operation. For people to argue witch oppressor will oppress you the best is foolish. Republicans and Democrats are guilty of racism.,Non_hope_speech,Non_hope_speech
147,@John Steven Britain and british empire was heavly involved in slavery and Bristol was slave port for a century. Edward Colston and others built Bristol from wealth gained from slavery labor in the Caribbean.,Non_hope_speech,Non_hope_speech
148,@Poseidon prove to me there is no God. I dare you.,Non_hope_speech,Non_hope_speech
149,@Jason Aguirre unrepentant and the ill-intentioned no,Non_hope_speech,Non_hope_speech
150,Tom C. It’s not saying they matter more because of skin color,Non_hope_speech,Non_hope_speech
151,We're fucked. I know. Don't rub salt in our wounds.The voters in sweden are fucking retarded.,Non_hope_speech,Non_hope_speech
152,@michael bledsoe you know what,Non_hope_speech,Non_hope_speech
153,@Dangus wouzld be great if it was like that but it is an antiö-white movement by now and as such going straight against their declared goals. I can't support that hate group anymore than I could support another hate group.,Non_hope_speech,Non_hope_speech
154,Kenneth Njapa Your point?,Non_hope_speech,Non_hope_speech
155,Ortaiηe Ðeviaη your not alone,Non_hope_speech,Non_hope_speech
156,No.... it’s a race hustling agenda; that’s why it’s hypocritical,Non_hope_speech,Non_hope_speech
157,A lot of people don't know that especially in South Asia,Non_hope_speech,Non_hope_speech
158,Who is she fighting?,Non_hope_speech,Non_hope_speech
159,Can anyone tell me what equipment or software is needed to make videos where you're in one area and the video in another?,Non_hope_speech,Non_hope_speech
160,Genuine...well deserved award,Non_hope_speech,Non_hope_speech
161,All lives matter ask God that question,Non_hope_speech,Non_hope_speech
162,@Theodore Haskins You criticize someone for giving an opinion instead of facts.  Then you proceed to go on a rant of your own opinions,Non_hope_speech,Non_hope_speech
163,It's amazing how woke people are these days.,Non_hope_speech,Non_hope_speech
164,All Lives Matter,Hope_speech,Hope_speech
165,@Baden Jones no you didn't find anything that supports your opinions,Non_hope_speech,Non_hope_speech
166,Just like ISIS and Taliban....destroying history !!,Non_hope_speech,Non_hope_speech
167,My cousin is pansexual. Pan sexual. It’s a joke we have,Non_hope_speech,Non_hope_speech
168,Two beers to this officer!!!,Non_hope_speech,Non_hope_speech
169,Yeah they do,Non_hope_speech,Non_hope_speech
170,@Sasha Dumse But rules are meant to be broken and I think god just wants people to be happy!,Hope_speech,Hope_speech
171,Jan Smith People like you call yourself Christians,Non_hope_speech,Non_hope_speech
172,@tom - girl Yes you are right. But it seems like the attempt to help them understand is more of an attempt to make the idea seem appealing to them.,Non_hope_speech,Non_hope_speech
173,@SulttaaniSimo Yeah they do...some people just talk that way,Non_hope_speech,Non_hope_speech
174,Question that should be asked is why was the statue still in place. The protesters did Bristol a favour,Non_hope_speech,Non_hope_speech
175,See that's where y'all get it wrong. It's not about the color of our skin,Non_hope_speech,Non_hope_speech
176,@Yvonne Terran white man Divided us to (Berlin Conference of 1864-1865) learn your history,Non_hope_speech,Non_hope_speech
177,Sea Doggo that might be true. But doubt it. I don’t dress as a guy bc I wanna look like a guy or be a guy. Been around the block several times in life and that could be a really naive assumption you are making.,Non_hope_speech,Non_hope_speech
178,I dont agree with homosexuality ..... lol who's she kidding?,Non_hope_speech,Non_hope_speech
179,@anonymous one social distancing bruuuuuh,Non_hope_speech,Non_hope_speech
180,Maggie Paul That is not accurate. BLM has been outed as an organization that does not actually care about black lives. They care about anarchy and funding the democrats. All lives do matter and to suggest otherwise is...wait for it...racist (by definition).,Non_hope_speech,Non_hope_speech
181,Mesmerizing....! Bravo! Why no one came up with this earlier! The way we think the world is developing so fast yet it still manages to surprise us with its absurdity is plain staggering. Although I grew up to be an activist after majoring in social studies,Hope_speech,Hope_speech
182,He is  messed up,Non_hope_speech,Non_hope_speech
183,it's national socialism for people without a country,Non_hope_speech,Non_hope_speech
184,urgh making me hate black people,Non_hope_speech,Non_hope_speech
185,If I was Jewish I would be more upset by the people that see lots of money and the word corrupt and think that's a Jewish thing so it has to be a star of David.,Non_hope_speech,Non_hope_speech
186,Weed and women bro. Get with the times.,Non_hope_speech,Non_hope_speech
187,@James McNamara They're on SFBM AKA Sh#t For Brains Meals! And they eat copiously!,Non_hope_speech,Non_hope_speech
188,Only black lives matter! No one talks about the white guy that gets shot by the cop in the news . If you turn on the TV you only hear talk of black lives.,Non_hope_speech,Non_hope_speech
189,For all the fools who think are doing the right thingnn“We are trained Marxists,Non_hope_speech,Non_hope_speech
190,@Urban_ Rose I'm black and I agree with you.,Non_hope_speech,Non_hope_speech
191,If conservatives have an implicit bias liberals have an envy bias.,Non_hope_speech,Non_hope_speech
192,Mahir racism only exists in the mind of racists. Or minorities,Non_hope_speech,Non_hope_speech
193,TheLegend27 Is Alive nnyes.,Non_hope_speech,Non_hope_speech
194,Tbh. Though she does fit the lesbian stereotypes which is why people are going crazy about her . I never seen a straight female dress like that. And she feels uncomfortable to the subject which is what I noticed. But then again I’m a femme lesbian like a lisptick lesbian. You would see me as a Barbie  doll.,Non_hope_speech,Non_hope_speech
196,You sound dumb Af,Non_hope_speech,Non_hope_speech
197,I think the way that 'developing an interest in science' is marketed actually almost DROVE ME AWAY from science. No,Non_hope_speech,Non_hope_speech
198,And i thought there are stupid people only in my country.,Non_hope_speech,Non_hope_speech
199,will you tell me how BLM has helped raise the black community? what we need is better education. more of a focus on education. we need to lower the single motherhood rates in the black community. both of those factors have been proven to be linked with crime. i think that when we focus on raising raising our community from WITHIN that is truly the only way we can ever fix issues from the outside,Non_hope_speech,Non_hope_speech
200,There are lgbtq persons who do bad things. Thats a given. But that shouldnt be the license to hate everybody else in the lgbtq sphere cause a lot of us are nice and righteous. Generalizing is what needs to go. Ps,Hope_speech,Hope_speech
201,@Claire Caldwell why exactly chemical engineering?,Non_hope_speech,Non_hope_speech
202,Unfortunately racism will never end,Non_hope_speech,Non_hope_speech
203,@Pretend I put a Really Funny name here but I am bi and don't do that,Non_hope_speech,Non_hope_speech
204,The Queen! Never forget wat she did for the LGBTQ community!,Hope_speech,Hope_speech
205,All Lives Matter! Try to stop me from saying it Bully Lives Matter!,Non_hope_speech,Non_hope_speech
206,@Jesus is Lord & Savior The reforms (I'm referring to the #8Can'tWait especially) are so dumb and very obviously not thought through. It's clear that these people don't know the first thing about what they're talking about and get all their research from Instagram. Also,Non_hope_speech,Non_hope_speech
207,the thing is,Non_hope_speech,Non_hope_speech
208,GREAT BIG LIE is what this channel should be called.,Non_hope_speech,Non_hope_speech
209,Politicians on the left,Non_hope_speech,Non_hope_speech
210,Is anyone interested in a Georgia state trooper street racing  gt350 journey on YouTube,Non_hope_speech,Non_hope_speech
211,@Shar R. i think that she's who she is and people can't decide her sexuality for her,Hope_speech,Hope_speech
212,@MB G I sure never said that. I think everyone is of value. TBH after a while it comes off as bragging to me.,Non_hope_speech,Non_hope_speech
214,BLM is pure racists !n after they showed their true face,Non_hope_speech,Non_hope_speech
215,Stop killing the white farmers in Sout Africa!!!!!!!!!!!!!!,Non_hope_speech,Non_hope_speech
216,Mark Tunstall Exactly right!!,Non_hope_speech,Non_hope_speech
217,Because obviously they don't.  All must bow to the all mighty black people's. We all know they created everything. 🤣🤣,Non_hope_speech,Non_hope_speech
218,Her daddy changed the world,Non_hope_speech,Non_hope_speech
219,Poor guy I feel so bad for him,Non_hope_speech,Non_hope_speech
220,hi there’s actually way to many humans on the earth so having less kids is a good thing,Non_hope_speech,Non_hope_speech
221,Socialist propaganda ..... all lives matter. The people suffering the most on this planet are the elderly.,Non_hope_speech,Non_hope_speech
222,I watch this every time I need motivation in life.,Hope_speech,Hope_speech
223,That's it sorted then!! Hit that statue with your Skateboard and the whole Racism issue should be dealt with!! Glad they have got to the real crux of the issue,Non_hope_speech,Non_hope_speech
224,The most sincere interview I’ve ever heard her give!,Non_hope_speech,Non_hope_speech
225,Tom W blm started way before George Floyd’s death and it’s general idea is justice for all those black people,Non_hope_speech,Non_hope_speech
226,Aw poor maroon shirt girlnNot out to herself,Non_hope_speech,Non_hope_speech
227,@Hippo Bottom Jeans  usually when someone is against it they'll usually suddenly come out and you're just like AHHHHH makes sense,Non_hope_speech,Non_hope_speech
228,Too everyone out there not just George Floyd was killed because of his skin color but thousands of people like Brianna Taylor #Black Lives Matter,Non_hope_speech,Non_hope_speech
229,What TJ fails to understand is that in America,Non_hope_speech,Non_hope_speech
230,that would just a be a pure mean,Non_hope_speech,Non_hope_speech
231,@Jin Jun Liu they also have a dairy cow now,Non_hope_speech,Non_hope_speech
232,Only plea to all protesters,Non_hope_speech,Non_hope_speech
233,alejandromolinac  You really don’t understand what was going on politically.,Non_hope_speech,Non_hope_speech
234,Like I told my friend black lives matter and she said no because she didn’t understand so I showed her this video now she MUSt understand,Non_hope_speech,Non_hope_speech
235,+Kiiro Sagi (Verified) At first I read this as sarcasm,Non_hope_speech,Non_hope_speech
236,This is a strange debate,Non_hope_speech,Non_hope_speech
237,How is this being tolerated??? After that  any public support they had for their cause just disappeared! Very smart.,Non_hope_speech,Non_hope_speech
238,I’m a female engineer at my university and there are four women including myself in my graduating class this was so awesome i almost cried I had the same set backs,Hope_speech,Hope_speech
239,Britain's were kept as slaves for 500 years by the Roman's! Does this mean white Brits should March on Italy and start tearing down roman statues? Or does it not count because it was whites enslaving whites? Hmmm only black lives matter,Non_hope_speech,Non_hope_speech
240,George Floyd was a criminal.. so..,Non_hope_speech,Non_hope_speech
241,@Ken Wagnon They haven't even acknowledged history let alone encumber themselves with facts.,Non_hope_speech,Non_hope_speech
242,+T. van rossum Because at the time they had all the power. But if you think white people don't work as hard or as capable as black people then your just a simple minded fool.,Non_hope_speech,Non_hope_speech
243,yeah it's called good surgeons,Non_hope_speech,Non_hope_speech
244,WIRED if you post bullshit like this again I am unsubscribing.,Non_hope_speech,Non_hope_speech
245,@Mark Slima smh dont speak to me when you have no idea what I'm talking about. I mean the cop possibly could have been paid.,Non_hope_speech,Non_hope_speech
246,Hi Debbie ! Your video made me very emotional. I am a professional mechanical engineer and i needed a proof to say i am not alone in this. Thank You !,Hope_speech,Hope_speech
247,Thank you !,Non_hope_speech,Non_hope_speech
248,How did i land in fairy dust village?,Non_hope_speech,Non_hope_speech
249,Well Tony Dennis,Non_hope_speech,Non_hope_speech
250,Proud Conservative I’m a liberatarian,Non_hope_speech,Non_hope_speech
251,Why dont they attack the Arabians  then ? they slaved more blackpeople then anyone back in the Ottomans Empire. And what about the Italians ? They hated the black culture more then the White Americans did back when in the Maffia days. Also for what did Martin luther King die ? I dont hear the Blackpeople say his name from their mouths,Non_hope_speech,Non_hope_speech
252,Many ppl point the finger at celebs bc of botox/surgeries; but will also point the finger at celebs that don't have botox and did not go under the knife.nYou can still see that it's Madonna. Whatever she has done,Non_hope_speech,Non_hope_speech
253,That sheriff needs prayer. He's lost and confused.,Non_hope_speech,Non_hope_speech
254,@Gameplay Central it is very much who we are and we can't change. You clearly learned nothing from this video.,Non_hope_speech,Non_hope_speech
255,This is so weird to me. The Presbyterian church I was taken to was extremely accepting and kind to everyone. Is it just American Presbyterians who are small minded?,Non_hope_speech,Non_hope_speech
256,I mean he was a slave trader though... and he didn’t deserve a statue. I’m against all these protests but I gotta admit a slave trader shouldn’t have his own statue.,Non_hope_speech,Non_hope_speech
257,It cracks me up when I hear someone say “I don’t agree with homosexuality”,Non_hope_speech,Non_hope_speech
258,@Daniel Crutcher  well it is like he wrote the future   and them idiots have taken it to heart  along with ppl of government  we eV have seen it coming for yrs slowly  starting with police helicopters with cameras then the streets tgen they took our rights to bear arms so we can't defend ourselves  and need to depend on government on our knees   1984 and animal farm   ya couldn't make it up Orwell even left the bbc because  he couldn't stand to be around the way it was going and served no purpose  so he left and here we are we it the bbc almost gone ppl like me paying no licence  and we live in big brother society  if it's not nipped in the bud it can only get worse in the future   he was a very clever man  put ppl never listen who need to know and listen  then these clowns  come around they must of been dragged up,Non_hope_speech,Non_hope_speech
259,BLM and Atifa is a part of the Marxist Revolution in America and the world!!!,Non_hope_speech,Non_hope_speech
260,She saved my life too.,Hope_speech,Hope_speech
261,The Queen! Never forget wat she did for the LGBTQ community!,Hope_speech,Hope_speech
262,It’s very important to teach these kids about this. I’m fortunate that I didn’t have to go through this when I came out a year ago. I’m 16 and I’m happy that my family loves and accepts me,Hope_speech,Hope_speech
263,Harry W I've been a software engineer for over 10 years and I'm at the top of the game,Non_hope_speech,Non_hope_speech
265,also that star didn't look like a star of david.  the star of david isn't a polygon and that star shaped picture was.  the star of david is a bunch of overlapping line segments.  THe clip art looks more like a sheriff's badge,Non_hope_speech,Non_hope_speech
266,You all are some ignorant people and obviously have no clue.... Fight me..,Non_hope_speech,Non_hope_speech
267,She looks like Michael Jackson with botox lol,Non_hope_speech,Non_hope_speech
268,@Logan Schmidt it is difficult to win an argument against  an intelligent person,Non_hope_speech,Non_hope_speech
269,This officer is brilliant,Non_hope_speech,Non_hope_speech
270,The one at the end be some weird universe bullsh*t,Non_hope_speech,Non_hope_speech
271,Madonna is very inspiring,Hope_speech,Hope_speech
272,He's booked... he's mine,Non_hope_speech,Non_hope_speech
273,Black Lives Matter means Black Lives Matter to,Non_hope_speech,Non_hope_speech
274,the american constitution matters,Non_hope_speech,Non_hope_speech
276,IDIOTS LIFE MATTERS. Idiots Leadership for democrazy change! Idiotic nequality for everyone! Fire police,Non_hope_speech,Non_hope_speech
277,And also she was let to speak and answer smart question,Non_hope_speech,Non_hope_speech
278,yall are on crack i swear not all lives are in danger tf not all lives are getting killed cuz of their skin,Non_hope_speech,Non_hope_speech
279,andrea raimey yo mama should repent from bringing you to this world...!!!,Non_hope_speech,Non_hope_speech
280,We want justice. Now.nNo justice,Non_hope_speech,Non_hope_speech
281,@Bbm add#11 And just like that the thread's derailed. Congrats. You made it about you. I hope you feel special.,Non_hope_speech,Non_hope_speech
282,martini just reminded me of him 🤷‍,Non_hope_speech,Non_hope_speech
283,Is it still ok to be white?,Non_hope_speech,Non_hope_speech
284,Victimizing yourselves then listening to music that glorifies the exact thing you say you're fighting for black lives. Right?,Non_hope_speech,Non_hope_speech
285,I’m so glad I’m in the Uk where in year 11 we have our GCSEs and since 2004 girls have outperformed boys in all subjects,Hope_speech,Hope_speech
286,A study shows that women have sharper mental skills than mennThat is not an accurate interpretation of the study.,Non_hope_speech,Non_hope_speech
287,All lives matter!  Period!!   ALL LIVES!!,Hope_speech,Hope_speech
288,Every life Matters,Hope_speech,Hope_speech
289,Every lives matter,Hope_speech,Hope_speech
290,conversion therapy is torture.,Hope_speech,Hope_speech
291,@Maggie Paul maybe you don't understand. Police brutality is a  world wide problem. When you  single out a small section of  humanity  a this is,Non_hope_speech,Non_hope_speech
293,This sheriff is THE BOSS  <3 much love and respect to you good sir ..............meanwhile juan is an embarrassment,Non_hope_speech,Non_hope_speech
294,This is very well done,Non_hope_speech,Non_hope_speech
